master_id	canonical_name	canonical_reading	old_names	alternative_names	prefecture	address	coordinates	main_deity_ids	secondary_deity_ids	related_clan_ids	shrine_rank_ancient	shrine_rank_modern	founding_year_estimated	founding_legend	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source	coordinates_accuracy	coordinates_source	coordinates_verified_at	visualization_confidence	coordinates_source_url	coordinates_note
SHR-013	賀茂別雷神社	かもわけいかづちじんじゃ	-	上賀茂神社	京都府	京都市北区上賀茂本山339	35.0603,135.7528	DEI-122	-	CLN-NN(賀茂氏)	名神大社|山城国一宮	官幣大社|別表神社	678年(社殿造営、天武7年)	賀茂氏祖伝承	祭神「賀茂別雷大神」。下鴨と一対	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E8%B3%80%E8%8C%82%E5%88%A5%E9%9B%B7%E7%A5%9E%E7%A4%BE	
SHR-014	賀茂御祖神社	かもみおやじんじゃ	-	下鴨神社	京都府	京都市左京区下鴨泉川町59	35.0389,135.7725	-	-	CLN-NN(賀茂氏)	名神大社|山城国一宮	官幣大社|別表神社	不明(古層)	玉依姫命と賀茂建角身命を祀る	上賀茂(別雷神)と下鴨(母神・祖神)で対構造	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E8%B3%80%E8%8C%82%E5%BE%A1%E7%A5%96%E7%A5%9E%E7%A4%BE	
SHR-015	住吉大社	すみよしたいしゃ	住吉神社	-	大阪府	大阪市住吉区住吉2-9-89	34.6124,135.4938	DEI-164|DEI-165|DEI-166|DEI-183	-	CLN-NN(津守氏)	名神大社|摂津国一宮	官幣大社|別表神社	神功皇后摂政11年(伝)	住吉三神(底筒男・中筒男・表筒男)+神功皇后	海上安全・歌道の神。津守氏が代々社家	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E4%BD%8F%E5%90%89%E5%A4%A7%E7%A4%BE	
SHR-016	宇佐神宮	うさじんぐう	宇佐八幡宮	八幡総本宮	大分県	宇佐市南宇佐2859	33.5261,131.3747	DEI-181|DEI-182|DEI-183|DEI-184	DEI-160|DEI-185	CLN-NN(宇佐氏・大神氏)	名神大社|豊前国一宮	官幣大社|別表神社	欽明天皇32年(571、伝)	八幡神(応神天皇)顕現	祭神=応神天皇+比売大神+神功皇后。八幡信仰の総本宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%AE%87%E4%BD%90%E7%A5%9E%E7%A4%BE	
SHR-017	八坂神社	やさかじんじゃ	祇園社|祇園感神院	祇園さん	京都府	京都市東山区祇園町北側625	35.0036,135.7786	DEI-002	DEI-030|DEI-021	-	-	官幣大社|別表神社	斉明天皇2年(656、伝)	高麗・調進副使伊利之の創祀伝	祇園信仰の総本社。明治の神仏分離で社名改称(祇園感神院→八坂神社)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 近代社格保持	exact	wikipedia	2026-05-28T00:00:00	inferred	https://ja.wikipedia.org/wiki/%E5%85%AB%E5%9D%82%E7%A5%9E%E7%A4%BE	
SHR-018	氷川神社	ひかわじんじゃ	-	武蔵一宮氷川神社	埼玉県	さいたま市大宮区高鼻町1-407	35.9168,139.6297	DEI-002	DEI-021|DEI-001|DEI-022|DEI-023	-	名神大社|武蔵国一宮	官幣大社|別表神社	孝昭天皇3年(伝)	-	「氷川」=「簸川(=斐伊川)」由来の出雲ルーツ説。関東の出雲系信仰の最大拠点	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E6%B0%B7%E5%B7%9D%E7%A5%9E%E7%A4%BE	
SHR-019	神田明神	かんだみょうじん	神田神社	-	東京都	千代田区外神田2-16-2	35.7020,139.7679	DEI-001	DEI-020	-	-	別表神社	天平2年(730、伝)	大己貴命を勧請	江戸総鎮守。平将門を合祀(江戸期)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 近代社格保持	exact	wikipedia	2026-05-28T00:00:00	inferred	https://ja.wikipedia.org/wiki/%E7%A5%9E%E7%94%B0%E6%98%8E%E7%A5%9E	
SHR-020	美保神社	みほじんじゃ	-	-	島根県	松江市美保関町美保関608	35.5623,133.3060	DEI-009	-	-	名神大社	国幣中社	不明(神話時代)	コトシロヌシが釣魚を嗜んだ地	全国えびす神社の源流の一。青柴垣神事(4月)・諸手船神事(12月)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%BE%8E%E4%BF%9D%E7%A5%9E%E7%A4%BE	
SHR-021	神魂神社	かもすじんじゃ	-	-	島根県	松江市大庭町563	35.4255,133.0843	DEI-006	DEI-005|DEI-083	CLN-NN(出雲国造)	-	別表神社	天正11年(1583)現存本殿	イザナミを祀る出雲国造の代替り社	本殿は現存最古の大社造(国宝)。火継神事の重要社	verified	existence	2026-05-25T00:00:00	claude	auto-init: 近代社格保持	exact	wikipedia	2026-05-28T00:00:00	inferred	https://ja.wikipedia.org/wiki/%E7%A5%9E%E9%AD%82%E7%A5%9E%E7%A4%BE	
SHR-022	日御碕神社	ひのみさきじんじゃ	日沈宮+神の宮(上下宮)	-	島根県	出雲市大社町日御碕455	35.4296,132.6293	DEI-003	DEI-002|DEI-021|DEI-031	-	式内社	国幣小社	不明	「日没を司る」社伝	下宮(日沈宮)=アマテラス、上宮(神の宮)=スサノオの二宮構造。寛永14年(1637)再建社殿(重文)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E6%97%A5%E5%BE%A1%E7%A2%95%E7%A5%9E%E7%A4%BE	
SHR-023	佐太神社	さだじんじゃ	佐陀大社	-	島根県	松江市鹿島町佐陀宮内73	35.5089,133.0064	DEI-025	DEI-005|DEI-006	CLN-NN(朝山氏)	式内社|出雲国二宮	国幣小社|別表神社	不明(風土記登載)	加賀の潜戸でキサカヒメから誕生	出雲三大社の一。神在祭(神有月)の中心。佐陀神能(国指定重要無形民俗文化財)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E4%BD%90%E5%A4%AA%E7%A5%9E%E7%A4%BE	
SHR-024	八重垣神社	やえがきじんじゃ	佐草社	-	島根県	松江市佐草町227	35.4290,133.0737	DEI-002	DEI-021|DEI-001	-	式内社	-	不明(風土記登載)	スサノオ・クシナダ婚姻地	「鏡の池」の縁占い、現代の縁結び信仰の中核	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%85%AB%E9%87%8D%E5%9E%A3%E7%A5%9E%E7%A4%BE	
SHR-025	須佐神社	すさじんじゃ	須佐大宮	-	島根県	出雲市佐田町須佐730	35.2347,132.7369	DEI-002	DEI-021	CLN-NN(須佐氏)	式内社|出雲国一宮候補	国幣小社	不明(風土記登載)	スサノオ自ら命名し終焉地とした	出雲国風土記「神須佐能袁命」が自ら名を留めた地。一宮論争の有力候補	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E9%A0%88%E4%BD%90%E7%A5%9E%E7%A4%BE_(%E5%87%BA%E9%9B%B2%E5%B8%82)	
SHR-026	須我神社	すがじんじゃ	-	日本初之宮	島根県	雲南市大東町須賀260	35.3836,133.0639	DEI-002	DEI-021	-	式内社	-	不明	ヤマタノオロチ退治後にスサノオが宮を建てた須賀の地	「八雲立つ出雲八重垣…」歌の発祥。日本初の和歌の地	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-25T00:00:00	textual		
SHR-027	揖夜神社	いやじんじゃ	伊布夜社	-	島根県	松江市東出雲町揖屋2229	35.4569,133.1044	DEI-006	DEI-005|DEI-001	-	名神大社	-	不明	イザナミを祀り、近隣の黄泉比良坂伝承地と一体	「揖夜=言屋(コトヤ)」語源説。冥界信仰の聖地	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-25T00:00:00	textual		
SHR-028	万九千神社	まんくせんじんじゃ	万九千社	神立社	島根県	出雲市斐川町併川258	35.3819,132.7406	DEI-002	DEI-001	-	式内社	-	不明	神在月の神々がここから帰る「神立」の社	祭神「櫛御気奴命」=スサノオ別名(社伝)。神在祭の終焉拠点	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-25T00:00:00	textual		
SHR-032	枚岡神社	ひらおかじんじゃ	-	-	大阪府	大阪府東大阪市出雲井町	34.6606,135.6486	DEI-107	-	-	名神大社	河内一宮	不明	-	河内国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-033	大鳥大社	おおとりたいしゃ	-	-	大阪府	大阪府堺市西区鳳北町	34.5413,135.4564	DEI-016	-	-	名神大社	和泉一宮	不明	-	和泉国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-034	真清田神社	ますみだじんじゃ	-	-	愛知県	愛知県一宮市真清田	35.3045,136.802	DEI-340	-	CLN-037	名神大社	尾張一宮	不明	-	尾張国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-035	砥鹿神社	とがじんじゃ	-	-	愛知県	愛知県豊川市一宮町	34.8476,137.4212	DEI-001	-	-	-	三河一宮	不明	-	三河国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%A0%A5%E9%B9%BF%E7%A5%9E%E7%A4%BE	里宮
SHR-036	小国神社	おぐにじんじゃ	-	-	静岡県	静岡県周智郡森町一宮	34.8475,137.8992	DEI-001	-	-	-	遠江一宮	不明	-	遠江国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%B0%8F%E5%9B%BD%E7%A5%9E%E7%A4%BE	
SHR-038	浅間神社	あさまじんじゃ	-	-	山梨県	山梨県笛吹市	-	DEI-197	-	-	-	甲斐一宮	不明	-	甲斐国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値						
SHR-039	三嶋大社	みしまたいしゃ	-	-	静岡県	静岡県三島市	35.1248,138.9189	DEI-287	-	CLN-168	名神大社	伊豆一宮	不明	-	伊豆国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-040	寒川神社	さむかわじんじゃ	-	-	神奈川県	神奈川県高座郡寒川町	35.3796,139.3833	DEI-005|DEI-006	-	-	-	相模一宮	不明	-	相模国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 著名社保護リスト	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%AF%92%E5%B7%9D%E7%A5%9E%E7%A4%BE	
SHR-042	安房神社	あわじんじゃ	-	-	千葉県	千葉県館山市大神宮	34.9224,139.8367	DEI-108	-	-	名神大社	安房一宮	不明	-	安房国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%AE%89%E6%88%BF%E7%A5%9E%E7%A4%BE	
SHR-043	玉前神社	たまさきじんじゃ	-	-	千葉県	千葉県長生郡一宮町	35.3761,140.3605	DEI-088	-	-	-	上総一宮	不明	-	上総国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%8E%89%E5%89%8D%E7%A5%9E%E7%A4%BE	
SHR-046	建部大社	たけべたいしゃ	-	-	滋賀県	滋賀県大津市神領	34.9735,135.9135	DEI-016	-	-	名神大社	近江一宮	不明	-	近江国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%BB%BA%E9%83%A8%E5%A4%A7%E7%A4%BE	
SHR-047	南宮大社	なんぐうたいしゃ	-	-	岐阜県	岐阜県不破郡垂井町	35.3610,136.5253	DEI-221	-	-	名神大社	美濃一宮	不明	-	美濃国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%8D%97%E5%AE%AE%E5%A4%A7%E7%A4%BE	
SHR-048	水無神社	みなしじんじゃ	-	-	岐阜県	岐阜県高山市一之宮町	36.0853,137.2519	-	-	-	-	飛騨一宮	不明	-	飛騨国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E9%A3%9B%E9%A8%A8%E4%B8%80%E5%AE%AE%E6%B0%B4%E7%84%A1%E7%A5%9E%E7%A4%BE	
SHR-050	貫前神社	ぬきさきじんじゃ	-	-	群馬県	群馬県富岡市	36.2552,138.8577	DEI-012	-	-	名神大社	上野一宮	不明	-	上野国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E4%B8%80%E4%B9%8B%E5%AE%AE%E8%B2%AB%E5%89%8D%E7%A5%9E%E7%A4%BE	
SHR-051	二荒山神社	ふたらさんじんじゃ	-	-	栃木県	栃木県宇都宮市	36.5617,139.8847	DEI-279	-	-	名神大社	下野一宮	不明	-	下野国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-052	鹽竈神社	しおがまじんじゃ	-	-	宮城県	宮城県塩竈市	38.3188,141.0126	DEI-276	DEI-005|DEI-006	-	名神大社	陸奥一宮	不明	-	陸奥国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E9%B9%BD%E7%AB%88%E7%A5%9E%E7%A4%BE	志波彦神社同境内
SHR-055	氣比神宮	けひじんぐう	-	-	福井県	福井県敦賀市	35.6550,136.0747	-	-	-	名神大社	越前一宮	不明	-	越前国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E6%B0%A3%E6%AF%94%E7%A5%9E%E5%AE%AE	
SHR-057	氣多大社	けたたいしゃ	-	-	石川県	石川県羽咋市	36.9260,136.7674	-	-	-	名神大社	能登一宮	不明	-	能登国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E6%B0%97%E5%A4%9A%E5%A4%A7%E7%A4%BE	
SHR-058	気多神社	けたじんじゃ	-	-	富山県	富山県高岡市	-	DEI-001	-	-	-	越中一宮	不明	-	越中国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 著名社保護リスト						
SHR-059	彌彦神社	やひこじんじゃ	-	-	新潟県	新潟県西蒲原郡	37.7067,138.8260	-	-	-	名神大社	越後一宮	不明	-	越後国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%BD%8C%E5%BD%A6%E7%A5%9E%E7%A4%BE	弥彦神社の異体字
SHR-060	度津神社	わたつじんじゃ	-	-	新潟県	新潟県佐渡市	-	-	-	-	-	佐渡一宮	不明	-	佐渡国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値						
SHR-061	出雲大神宮	いずもだいじんぐう	-	-	京都府	京都府亀岡市	35.0594,135.5784	DEI-001	-	-	名神大社	丹波一宮	不明	-	丹波国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%87%BA%E9%9B%B2%E5%A4%A7%E7%A5%9E%E5%AE%AE	
SHR-062	籠神社	このじんじゃ	-	-	京都府	京都府宮津市	35.5865,135.1985	DEI-172	-	CLN-036	名神大社	丹後一宮	不明	-	丹後国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%B1%A0%E7%A5%9E%E7%A4%BE	本宮
SHR-063	出石神社	いずしじんじゃ	-	-	兵庫県	兵庫県豊岡市	35.4819,134.8703	DEI-269	-	-	名神大社	但馬一宮	不明	-	但馬国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%87%BA%E7%9F%B3%E7%A5%9E%E7%A4%BE	
SHR-064	宇倍神社	うべじんじゃ	-	-	鳥取県	鳥取県鳥取市	35.4886,134.2769	-	-	-	名神大社	因幡一宮	不明	-	因幡国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-065	倭文神社	しとりじんじゃ	-	-	鳥取県	鳥取県東伯郡	-	-	-	-	-	伯耆一宮	不明	-	伯耆国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値						
SHR-067	物部神社	もののべじんじゃ	-	-	島根県	島根県大田市	-	DEI-341	-	CLN-022	-	石見一宮	不明	-	石見国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値						
SHR-068	水若酢神社	みずわかすじんじゃ	-	-	島根県	島根県隠岐郡	36.2906,133.3208	-	-	-	名神大社	隠岐一宮	不明	-	隠岐国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-069	伊和神社	いわじんじゃ	-	-	兵庫県	兵庫県宍粟市	35.0419,134.5611	DEI-270	-	-	名神大社	播磨一宮	不明	-	播磨国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-072	吉備津神社	きびつじんじゃ	-	-	岡山県	岡山県岡山市	34.6706,133.8497	DEI-474	-	-	名神大社	備中一宮	不明	-	備中国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-073	吉備津神社(備後)	きびつじんじゃ	-	-	広島県	広島県福山市	-	DEI-474	-	-	-	備後一宮	不明	-	備後国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 著名社保護リスト						
SHR-074	厳島神社	いつくしまじんじゃ	-	-	広島県	広島県廿日市市	34.2959,132.3197	DEI-019	DEI-017|DEI-018	-	名神大社	安芸一宮	不明	-	安芸国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
SHR-075	玉祖神社	たまのおやじんじゃ	-	-	山口県	山口県防府市	-	DEI-113	-	-	-	周防一宮	不明	-	周防国一宮	under_review	existence	2026-05-25T00:00:00	claude	auto-init: 初期値						
SHR-076	住吉神社(長門)	すみよしじんじゃ	-	-	山口県	山口県下関市	34.0289,130.9425	DEI-164|DEI-165|DEI-166	-	-	名神大社	長門一宮	不明	-	長門国一宮	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-28T00:00:00	textual		
